Building,Room,Room Type,Dimensions,Area,Adjoining Rooms
JMES,004A,Single in a Quint,12x10.42,125,"JMES*004B
JMES*004C
JMES*004D"
JMES,004B,Single in a Quint,12.5x11.36,142,"JMES*004A
JMES*004C
JMES*004D"
JMES,004C,Single in a Quint,12x8.67,104,"JMES*004A
JMES*004B
JMES*004D"
JMES,004D,Double in a Quint,16.5x13.5,223,"JMES*004A
JMES*004B
JMES*004C"
JMES,005A,Double in a Quint,16.5x13.5,223,"JMES*005B
JMES*005C
JMES*005D"
JMES,005B,Single in a Quint,12x8.67,104,"JMES*005A
JMES*005C
JMES*005D"
JMES,005C,Single in a Quint,12.5x11.36,142,"JMES*005A
JMES*005B
JMES*005D"
JMES,005D,Single in a Quint,12x10.5,126,"JMES*005A
JMES*005B
JMES*005D"
JMES,101A,Single in a Quad,13x9.23,120,"JMES*101B
JMES*101C"
JMES,101B,Double in Quad,18.5x13.19,244,"JMES*101A
JMES*101C"
JMES,101C,Single in a Quad,11x10,110,"JMES*101A
JMES*101B"
JMES,102A,Single in a Quad,13x9.23,120,"JMES*102B
JMES*102C"
JMES,102B,Double in Quad,18.5x13.19,244,"JMES*102A
JMES*102C"
JMES,102C,Single in a Quad,11x10,110,"JMES*102A
JMES*102B"
JMES,103A,Double in Quad,16.5x14,232,"JMES*103B
JMES*103C"
JMES,103B,Single in a Quad,12x10,120,"JMES*103A
JMES*103C"
JMES,103C,Single in a Quad,12x10.33,124,"JMES*103A
JMES*103B"
JMES,104A,Single in a Quad,12x9,108,"JMES*104B
JMES*104C"
JMES,104B,Single in a Quad,12x9,108,"JMES*104A
JMES*104C"
JMES,104C,Double in Quad,13.5x13,176,"JMES*104A
JMES*104B"
JMES,201A,Single in a Quad,13x9.23,120,"JMES*201B
JMES*201C"
JMES,201B,Double in Quad,18.5x13.19,244,"JMES*201A
JMES*201C"
JMES,201C,Single in a Quad,11x10,110,"JMES*201A
JMES*201B"
JMES,202A,Single in a Quint,13x9.23,120,"JMES*202B
JMES*202C
JMES*202D"
JMES,202B,Single in a Quint,13x9.23,120,"JMES*202A
JMES*202C
JMES*202D"
JMES,202C,Double in a Quint,18.5x13.19,244,"JMES*202A
JMES*202B
JMES*202D"
JMES,202D,Single in a Quint,11x10,110,"JMES*202A
JMES*202B
JMES*202C"
JMES,203A,Double in Quad,16.5x14,232,"JMES*203B
JMES*203C"
JMES,203B,Single in a Quad,12x10,120,"JMES*203A
JMES*203C"
JMES,203C,Single in a Quad,12x10.33,124,"JMES*203A
JMES*203B"
JMES,204A,Single in a Quad,12x9,108,"JMES*204B
JMES*204C"
JMES,204B,Single in a Quad,12x9,108,"JMES*204A
JMES*204C"
JMES,204C,Double in Quad,13.5x13,176,"JMES*204A
JMES*204B"
JMES,205A,Double in a Quint,16x10.75,172,"JMES*205B
JMES*205C
JMES*205D"
JMES,205B,Single in a Quint,11.5x13.48,155,"JMES*205A
JMES*205C
JMES*205D"
JMES,205C,Single in a Quint,11x11.36,125,"JMES*205A
JMES*205B
JMES*205D"
JMES,205D,Single in a Quint,11.5x10,115,"JMES*205A
JMES*205B
JMES*205C"
JMES,301A,Single in a Quad,13x9.23,120,"JMES*301B
JMES*301C"
JMES,301B,Double in Quad,18.5x13.19,244,"JMES*301A
JMES*301C"
JMES,301C,Single in a Quad,11x10,110,"JMES*301A
JMES*301B"
JMES,302A,Single in a Quint,13x9.23,120,"JMES*302B
JMES*302C
JMES*302D"
JMES,302B,Single in a Quint,13x9.23,120,"JMES*302A
JMES*302C
JMES*302D"
JMES,302C,Double in a Quint,18.5x13.19,244,"JMES*302A
JMES*302B
JMES*302D"
JMES,302D,Single in a Quint,12x9,110,"JMES*302A
JMES*302B
JMES*302C"
JMES,303A,Double in Quad,16.5x14,232,"JMES*303B
JMES*303C"
JMES,303B,Single in a Quad,12x10,120,"JMES*303A
JMES*303C"
JMES,303C,Single in a Quad,12x10.33,124,"JMES*303A
JMES*303B"
JMES,304A,Single in a Quad,12x9,108,"JMES*304B
JMES*304C"
JMES,304B,Single in a Quad,12x9,108,"JMES*304A
JMES*304C"
JMES,304C,Double in Quad,13.5x13,176,"JMES*304A
JMES*304B"
JMES,305A,Double in a Quint,16x10.75,172,"JMES*305B
JMES*305C
JMES*305D"
JMES,305B,Single in a Quint,11.5x13.48,155,"JMES*305A
JMES*305C
JMES*305D"
JMES,305C,Single in a Quint,11x11.36,125,"JMES*305A
JMES*305B
JMES*305D"
JMES,305D,Single in a Quint,11.5x10,115,"JMES*305A
JMES*305B
JMES*305C"
JMES,401A,Single in a Quad,13x9.54,124,"JMES*401B
JMES*401C"
JMES,401B,Double in Quad,18.5x13.19,244,"JMES*401A
JMES*401C"
JMES,401C,Single in a Quad,11x10,110,"JMES*401A
JMES*401B"
JMES,402A,Single in a Quint,13x9.23,120,"JMES*402B
JMES*402C
JMES*402D"
JMES,402B,Single in a Quint,13x9.23,120,"JMES*402A
JMES*402C
JMES*402D"
JMES,402C,Double in a Quint,18.5x13.19,244,"JMES*402A
JMES*402B
JMES*402D"
JMES,402D,Single in a Quint,11x10,110,"JMES*402A
JMES*402B
JMES*402C"
JMES,403A,Double in Quad,16.5x13.5,223,JMES*403B
JMES,403B,Double in Quad,25.5x11.37,290,JMES*403A
JMES,404A,Single in a Quad,12x9,108,"JMES*404B
JMES*404C"
JMES,404B,Single in a Quad,12x9,108,"JMES*404A
JMES*404C"
JMES,404C,Double in Quad,13.5x13,176,"JMES*404A
JMES*404B"
JMES,405A,Double in a Quint,15.5x11.48,178,"JMES*405B
JMES*405C"
JMES,405B,Double in a Quint,26x10.77,280,"JMES*405A
JMES*405C"
JMES,405C,Single in a Quint,11.5x10,115,"JMES*405A
JMES*405B"
